text,label
"One should be aware that foreign doctors admitted for trainingare ineligible to apply for resident alien status.  In orderto get the green card they have to return to their country andapply at the embassy there.  Of course, many somehow get aroundthis problem.  Often it is by agreeing to practice in a townwith a need and then the congressman from that district tacksa rider onto a bill saying ""Dr. X will be allowed to have permanentresidency in the US.""  A lot of bills in congress have such ridersattached to them.  Marrying a US citizen is the most common, althoughnow they are even cracking down on that and trying to tell UScitizens they must follow their spouse back to the Phillipines, orwhereever.-- ----------------------------------------------------------------------------Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, andgeb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon.""",5
"Of course posting some hard evidence or facts is much moredifficult.  You have not bothered to substantiate this inany way.  Basil, do you know of any evidence that would supportthis?I can just imagine a news report from ancient times, if Hasanhad been writing it.Newsflash:Cairo AP (Ancient Press).  Israel today denied Egypt acces to the RedSea.  In a typical display of Israelite agressiveness, the leader ofthe Israelite slave revolt, former prince Moses, parted the Red Sea.The action is estimated to have caused irreparable damage to the environment.Egyptian authorities have said that thousands of fisherman have beendenied their livelihood by the parted waters.  Pharaoh's brave charioteerswere successful in their glorious attempt to cause the waters of theRed Sea to return to their normal state.  Unfortunately they sufferedheavy casualties while doing so.",9
,4
"In <lsran6INN14a@exodus.Eng.Sun.COM> emarsh@hernes-sun.Eng.Sun.COM (Eric Huh?  Please explain.  Is there a problem because I based my morality on something that COULD be wrong?  Gosh, there's a heck of a lot of stuff that I believe that COULD be wrong, and that comes from sources that COULD be wrong. What do you base your belief on atheism on?  Your knowledge and reasoning? COuldn't that be wrong?MAC--****************************************************************                                                    Michael A. Cobb ""...and I won't raise taxes on the middle     University of Illinois    class to pay for my programs.""                 Champaign-Urbana          -Bill Clinton 3rd Debate             cobb@alexia.lis.uiuc.edu",0
Microwaves don't work very well with no electricity Mr Engineer.,8
"The girl's OK, actually, and she recovered well enough to go home.  Idon't know if she has any permanent damage, though.  Just in case anybody wasconcerned...	If people start forcing others to take responsibility for their actionsthings like this wouldn't happen.  Untill we stop blaming outside causes, andstart blaming the criminals, we will continue to let things like this happen.",17
"Source: ""Men Are Like That"" by Leonard Ramsden Hartill. The Bobbs-MerrillCompany, Indianapolis (1926). (305 pages). (Memoirs of an Armenian officer who participated in the genocide of 2.5  million Muslim people)p. 133 (first paragraph)""In this movement we took with us three thousand Turkish soldiers who had been captured by the Russians and left on our hands when the Russians abandoned the struggle. During our retreat to Karaklis two thousand of these poor devils were cruelly put to death. I was sickened by the brutality displayed, but could not make any effective protest. Some, mercifully, were shot. Many of them were burned to death. The method employed was to put a quantity of straw into a hut, and then after crowding the hut with Turks, set fire to the straw.""Serdar Argic",9
"...I think the support droid was malfunctioning and confused the disk spacelimit with the virtual address space limit.  As far as the disk isconcerned, you are limited only by the amount of contiguous free space.The limit that causes the message, ""Windows will only use ...,"" is theamount of virtual address space that the Virtual Memory Manager willcreate, and this is a function of the amount of free memory that you havewhen Windows starts.In the [386enh] section of SYSTEM.INI, you can specify a parameter:	PageOverCommit=multiplierThe following description is from the Windows Resource Kit:	This entry specifies the multiplier what determines the amount of	linear address space the VMM will create for the system, which is	computed by rounding up the amount of available physical memory to	the nearest 4 MB and then multiplying that value by the value	specified for PageOverCommit=.  Increasing this value increases the	amount of available linear address space, causing the size of data	structures to increase.  This also increases paging activity	proportionately and can slow down the system.  You can specify a	value between 1 and 20.  The default is 4.  To change this entry,	you must edit SYSTEM.INI.",12
"The investment was there in the form of huge tax breaks, and employerbenfits.  You are overlooking the difference that these could havemade to any company.  Part of the problem was that few industrieswere interested in political settling, as much as profit.True, which leads to the obvious question, should any investment havebeen made there at the taxpayer's expense.  Obviously, the answer wasand still is a resounding no.",9
,13
