text,label
"Background: The short form of the International Physical Activity Questionnaire (IPAQ-sf) is a validated questionnaire used to assess physical activity (PA) in healthy adults and commonly used in both apparently healthy adults and cancer patients. However, the IPAQ-sf has not been previously validated in cancer patients undergoing oncologic treatment. The objective of the present study was to compare IPAQ-sf with objective measures of physical activity (PA) in cancer patients undergoing chemotherapy. Methods: The present study was part of a 12-month prospective individualized lifestyle intervention focusing on diet, PA, stress management and smoking cessation in 100 cancer patients undergoing chemotherapy. During the first two months of the lifestyle intervention, participants were wearing an activity monitor (SenseWear (TM) Armband (SWA)) for five consecutive days while receiving chemotherapy before completing the IPAQ-sf. From SWA, Moderate-to-Vigorous intensity PA (MVPA) in bouts >= 10 min was compared with self-reported MVPA from the IPAQ-sf. Analyses both included and excluded walking in MVPA from the IPAQ-sf. Results were extrapolated to a wearing time of seven days. Results: Sixty-six patients completed IPAQ-sf and wore the SWA over five days. Mean difference and limit of agreement between the IPAQ-sf and SWA including walking was 662 (+/- 1719) min. wk(-1). When analyzing time spent in the different intensity levels separately, IPAQ-sf reported significantly higher levels of moderate (602 min. wk(-1), p = 0.001) and vigorous (60 min. wk(-1), p = 0.001) PA compared to SWA. Conclusions: Cancer patients participating in a lifestyle intervention during chemotherapy reported 366 % higher MVPA level from the past seven days using IPAQ-sf compared to objective measures. The IPAQ-sf appears insufficient when assessing PA level in cancer patients undergoing oncologic treatment. Activity monitors or other objective tools should alternatively be considered, when assessing PA in this population.",29
"All modern governments are concerned with population and its management; they pursue a variety of policies in order to deal with demographic conditions adequately. One of the countries that seriously adopted population policies-especially birth control policy-in the late 20th century is Iran. Different studies stress that the population growth policy in the first half of the 1980s and the population control policy in the late 1980s and 1990s in Iran were influenced by the predicament the country found itself in during the war with Iraq and after the war, as well as the necessity of population management to renew human resources during the war and perform development and reconstruction plans properly after the war. This study claims that adopting such policies has not been due to a full understanding of real situations, but largely has been influenced by meta-forces i.e. political and ideological discourses that governed the country. In fact governing discourses actually determine the policies and their courses, rather than changes in policy-makers' understanding of real conditions in the society. This study indicates that since the Islamic Revolution, different discourses, including Islamic Idealism, Islamic Pragmatism, Islamic realism and Principlism, have governed Iran; consequently different population policies consistent with these discourses have been followed. In other words, this study tries to show that discursive attitudes seem to account more adequately for population policies in Iran than positivistic attitudes.",116
"This paper presents an innovative approach based on hardware and software to develop a multichannel seismic monitoring and data acquisition embedded system. The hardware was designed by using basic electronic components and integrated circuits. It consists of two parts, signal processing and microcontroller circuits. The signal processing circuit is a combination of preamplifier, low-pass filter, gain control, high-pass filter, dc offset, and clipper circuits. The proposed data acquisition system is able to record data at a sampling rate of 300 mu s, with 10-bit resolution. It has three modes: real-time monitoring, continuous recording, and seismic refraction. The detected seismic signals were filtered using analog filters, which are low pass with 1 kHz and high pass with 2 Hz. A universal serial bus was utilized to communicate between the hardware and the personal computer. A graphical user interface based on windows operating system was developed using Microsoft. NET Framework for transferring, processing, and analyzing the data. The system was tested and experimental results showing the performance of the proposed system were presented. Earth scientists can use this system for educational seismic experiments. It can be easily modified and used for other engineering applications.",51
"Nucleophosmin (NPM) and human epidermal growth factor receptor-2 (Her-2) are abnormally expressed in various types of human malignant tumors, including gastric cancer, and have been closely associated with cancer chemoresistance. However, their interaction and roles in oxaliplatin resistance are not fully understood. Therefore, the present study aimed to elucidate the relationship between NPM and Her-2 in gastric cancer cell lines and clinical samples, and further investigated their role in the resistance of gastric cancer to oxaliplatin. Western blotting and reverse transcription-quantitative polymerase chain reaction confirmed that NPM and Her-2 expression were significantly upregulated in gastric cancer cells and clinical samples, and that their expression levels were strongly correlated. However, Her-2 expression was not affected by upregulation or downregulation of NPM expression in gastric cancer cells. Cell counting kit-8 assays demonstrated that the cell sensitivity to oxaliplatin decreased simultaneously with an increase in NPM expression. Furthermore, inhibition of Her-2 expression using trastuzumab significantly increased the sensitivity of the cells to oxaliplatin, which occurred simultaneously with the downregulation of NPM. These results indicated that inhibition of NPM, as a Her-2 downstream signal, may be a novel strategy to overcome oxaliplatin-resistant gastric cancer, and that trastuzumab and oxaliplatin may exhibit a synergistic antitumor effect in Her-2-positive gastric cancer cells.",37
The present research is aimed at analyzing the professional gestures of a museum educator in a specific situation: the demonstration of the Foucault Pendulum in the Arts et Metiers Museum in Paris. What professional gestures can give him the ability to present this object to a mixed audience in a museum space open to visitor circulation? How does he manage to capture the attention of his audience and make scientific knowledge accessible? Does the educator work like a teacher? Such are the questions that the research team had in mind and which allowed them to conceive the scientific museum educator's action from the point of view of professional gestures.,80
"Introduction The aim of this study was to evaluate results of surgical stabilisation of hyperextension injuries of the thoracolumbar spine in patients with ankylosing spinal disorders using two different treatment strategies: the conventional open rigid posterior instrumentation and percutaneous less rigid posterior instrumentation. Surgical and non-surgical complications, the postoperative radiological course, and clinical outcome at final follow-up were comparatively assessed. Moreover, we sought to discuss important biomechanical and surgical aspects specific to posterior instrumentation of the ankylosed thoracolumbar spine as well as to elaborate on the advantages and limitations of the proposed new treatment strategy involving percutaneous less rigid stabilisation and fracture reduction by postoperative mobilisation. Materials and methods Between January 2006 and June 2012, a consecutive series of 20 patients were included in the study. Posterior instrumentation was performed either using an open approach with rigid 6.0 mm bars (open rigid (OR) group) or via a percutaneous approach using softer 5.5 mm bars (percutaneous less rigid (PLR) group). Complications as well as the radiological course were retrospectively assessed, and patient outcome was evaluated at final follow-up using validated outcome scores (VAS Spine Score, ODI, RMDQ, Parker Mobility Score, Barthel Score and WHOQOL-BREF). Results Surgical complications occurred more frequently in the OR group requiring revision surgery in two patients,while there was no revision surgery in the PLR group. The rate of postoperative complications was lower in the PLR group as well (0.7 vs. 1.3 complications per patient, respectively). Fracture reduction and restoration of pre-injury sagittal alignment by postoperative mobilisation occurred within the first 3 weeks in the PLR group, and within 6 months in the OR group. The clinical outcome at final follow-up was very good in both groups with no relevant loss in VAS Spine Score (pain and function), Parker Mobility Score (mobility), and Barthel Index (social independency) compared to pre-operative values. Conclusions This study indicates that the proposed treatment concept involving percutaneous less rigid posterior instrumentation and fracture reduction by postoperative mobilisation is feasible, seems to facilitate adequate reduction and restoration of pre-injury sagittal alignment, and might have the potential to reduce the rate of complications in the management of hyperextension injuries of the ankylosed thoracolumbar spine.",107
"Since the introduction of SPICE non-linear controlled voltage and current sources, they have become a central feature in the interactive development of behavioural device models and circuit macromodels. The current generation of SPICE-based open source general public license circuit simulators, including Qucs, Ngspice and Xyce (c), implements a range of mathematical operators and functions for modelling physical phenomena and system performance. The Qucs equation-defined device is an extension of the SPICE style non-linear B type controlled source which adds dynamic charge properties to behavioural sources, allowing for example, voltage and current dependent capacitance to be easily modelled. Following, the standardization of Verilog-A, it has become a preferred hardware description language where analogue models are written in a netlist format combined with more general computer programming features for sequencing and controlling model operation. In traditional circuit simulation, the generation of a Verilog-A model from a schematic, with embedded non-linear behavioural sources, is not automatic but is normally undertaken manually. This paper introduces a new approach to the generation of Verilog-A compact device models from Qucs circuit schematics using a purpose built analogue module synthesizer. To illustrate the properties and use of the Qucs Verilog-A module synthesiser, the text includes a number of semiconductor device modelling examples and in some cases compares their simulation performance with conventional behavioural device models. Copyright (c) 2016 John Wiley & Sons, Ltd.",40
"Both historical clinical and recent preclinical data suggest that the M-1 muscarinic acetylcholine receptor is an exciting target for the treatment of Alzheimer's disease and the cognitive and negative symptom clusters in schizophrenia; however, early drug discovery efforts targeting the orthosteric binding site have failed to afford selective M-1 activation. Efforts then shifted to focus on selective activation of M-1 via either allosteric agonists or positive allosteric modulators (PAMs). While M-1 PAMs have robust efficacy in rodent models, some chemotypes can induce cholinergic adverse effects (AEs) that could limit their clinical utility. Here, we report studies aimed at understanding the subtle structural and pharmacological nuances that differentiate efficacy from adverse effect liability within an indole-based series of M-1 ago-PAMs. Our data demonstrate that closely related M-1 PAMs can display striking differences in their in vivo activities, especially their propensities to induce adverse effects. We report the discovery of a novel PAM in this series that is devoid of observable adverse effect liability. Interestingly, the molecular pharmacology profile of this novel PAM is similar to that of a representative M-1 PAM that induces severe AEs. For instance, both compounds are potent ago-PAMs that demonstrate significant interaction with the orthosteric site (either bitopic or negative cooperativity). However, there are subtle differences in efficacies of the compounds at potentiating M-1 responses, agonist potencies, and abilities to induce receptor internalization. While these differences may contribute to the differential in vivo profiles of these compounds, the in vitro differences are relatively subtle,and highlight the complexities of allosteric modulators and the need to focus on in vivo phenotypic screening to identify safe and effective M-1 PAMs.",72
"This study investigated the perspective of international patients on individual symptoms of atopic dermatitis (eczema) in determining treatment response. A questionnaire was developed to evaluate the importance of symptoms from the patient's perspective. Patients were asked: ""How important are these features in deciding whether or not a treatment is working?"", and rated symptoms on a 5-point Likert scale. Patients were approached via Harmonising Outcome Measures for Eczema (HOME) collaborators and self-selected to take part in the on-line survey. Patients from 34 countries (n = 1,111) completed the survey; of these, 423 (38.3%) were parents of children with eczema. Ten items were rated as being ""quite important"" or ""very important"" by more than 80% of the respondents: itch, pain/soreness, skin feels hot or inflamed, bleeding, involvement of visible or sensitive body sites, cracks, sleep difficulties, amount of body affected, and weeping/oozing. These results may be of use in determining the face validity of scales from a cross-cultural patients' perspective.",110
"This paper proposes a new operation and control strategy for Power-Assisted Wheelchairs (PAW) using one brushless DC (BLDC) motor. The conventional electrical wheelchairs are too heavy and large for one person to move because they have two electric motor wheels. On the other hand, the proposed PAW system has a small volume and is easy to move due to the presence of a single wheel motor. Unlike the conventional electric wheelchairs, this structure for a PAW does not have a control joystick to reduce its weight and volume. To control the wheelchair without a joystick, a special control system and algorithm are needed for proper operation of the wheelchair. In the proposed PAW system uses only one sensor to detect the acceleration and direction of PAW's movement. By using this sensor, speed control can be achieved. With a speed control system, there are three kinds of operations that can be done on the speed of a PAW: the increment of PAW speed by summing external force, the decrement of PAW speed by subtracting external force, and emergency breaking by evaluating the time duration of external force. The validity of the proposed algorithm is verified through experimental results.",53
"Being a powerful instrument for modelling, analysing, and simulating dynamic systems, Petri Nets have been used many times in the past to solve software engineering problems and to model different aspects of information system. However, none of these research attempts have succeeded in modelling complete information system's behaviour in formal and executable way, at the same time. In the field of requirement specification and modelling of the information systems, it is usual to find object-oriented (OO) methodologies (UML) instead of some formal methods such as Petri Nets. In this paper, we propose a model based on extension of Petri Nets for creating formal static and dynamic models of information systems. The proposed model was designed as an executable replacement of the UML dynamic diagrams. For modelling static structure of the system we still suggest using OO methods, but proposed Petri Nets extension provides complete integration of the OO static elements into Petri Nets used as a dynamic model. The main contribution of the proposed Petri Nets extension is that we get the formal model that is, unlike other known formal models, directly and completely executable. More precisely, we created a model of a Petri Net that represents real information system with all its functionalities. Moreover, we created a CASE tool that allows modelling and execution of a system using the proposed model.",123
"A new mathematical formula referred to as the Planckian distribution equation (PDE) has been found to fit long-tailed histograms generated in various fields of studies, ranging from atomic physics to single-molecule enzymology, cell biology, brain neurobiology, glottometrics, econophysics, and to cosmology. PDE can be derived from a Gaussian-like equation (GLE) by non-linearly transforming its variable, x, while keeping the y coordinate constant. Assuming that GLE represents a random distribution (due to its symmetry), it is possible to define a binary logarithm of the ratio between the areas under the curves of PDE and GLE as a measure of the non-randomness (or order) underlying the biophysicochemical processes generating long-tailed histograms that fit PDE. This new function has been named the Planckian information, IP, which (i) may be a new measure of order that can be applied widely to both natural and human sciences and (ii) can serve as the opposite of the Boltzmann-Gibbs entropy, S, which is a measure of disorder. The possible rationales for the universality of PDE may include (i) the universality of the wave-particle duality embedded in PDE, (ii) the selection of subsets of random processes (thereby breaking the symmetry of GLE) as the basic mechanism of generating order, organization, and function, and (iii) the quantity-quality complementarity as the connection between PDE and Peircean semiotics.",36
"This research aimed to determine the effect of food insecurity on sexual HIV risk with clients among youth sex workers (YSWs) < 30 years in Metro Vancouver, Canada. Data were drawn from a prospective community cohort of sex workers (2010-2013). We examined the independent relationship between YSWs' food insecurity and being pressured into sex without a condom by clients (""client condom refusal""). Of 220 YSWs, 34.5 % (n = 76) reported client condom refusal over the 3.5-year study period and 76.4 % (n = 168) reported any food insecurity. Adjusting for other HIV risk pathways, food insecurity retained an independent effect on client condom refusal (AOR 2.08, 95 % CI 1.23-3.51), suggesting that food insecurity is significantly associated with HIV risk among YSWs. This study indicates a critical relationship between food insecurity and HIV risk, and demonstrates YSWs' particular vulnerability. Public policies for food assistance as a harm reduction measure may be key to addressing this disparity.",132
"Interest on the enrichment of eggs and poultry meat with omega-3 fatty acids (n-3 FA) has increased given their important role in human metabolism. The inclusion of n-3 FA into eggs and poultry meat is achieved by feeding ingredients such as flaxseed, fish oil, fish meal, marine algae and canola to birds. However, problems in various production parameters and sensory quality of eggs and meat may arise. The former possibly caused by antinutritional and physiological effects and the latter influenced by the interaction of volatile substances. Possible increases in formulation costs also deserve attention. Strategies to ameliorate these undesirable effects include limiting the inclusion levels of n-3 FA sources, time of feeding, mixing different n-3 FA sources in commercial rations, and including high levels of vitamin E along with high-quality ingredients. A mild heat treatment may eliminate some of the drawbacks of feeding flaxseed to birds.",32
